year_notif,TiposVar,Risco,PC,Var,Loadings
2011,Ambiental e Saúde,Baixo,PC1,Menor que meia cruz,-0.315185213392631
2011,Ambiental e Saúde,Baixo,PC1,Com Sintomas,0.036080357393895
2011,Ambiental e Saúde,Baixo,PC1,Área Hidrográfica,-0.366603121838761
2011,Ambiental e Saúde,Baixo,PC1,Incremento de Desmatamento,0.362246469473479
2011,Ambiental e Saúde,Baixo,PC1,Taxa de Migração Bruta,0.394364468782015
2011,Ambiental e Saúde,Baixo,PC1,% de detecção ativa,-0.340003751027178
2011,Ambiental e Saúde,Baixo,PC1,Nuvem,-0.376640485879782
2011,Ambiental e Saúde,Baixo,PC1,Estabelecimento de nível de atenção básica,-0.070204755397084
2011,Ambiental e Saúde,Baixo,PC1,Negativo,-0.204333127183769
2011,Ambiental e Saúde,Baixo,PC1,Área desmatada,0.417218720076117
2011,Ambiental e Saúde,Baixo,PC2,Menor que meia cruz,0.229044853911651
2011,Ambiental e Saúde,Baixo,PC2,Com Sintomas,0.071189442919476
2011,Ambiental e Saúde,Baixo,PC2,Área Hidrográfica,0.426267340733545
2011,Ambiental e Saúde,Baixo,PC2,Incremento de Desmatamento,0.574416548594532
2011,Ambiental e Saúde,Baixo,PC2,Taxa de Migração Bruta,-0.091133008352429
2011,Ambiental e Saúde,Baixo,PC2,% de detecção ativa,0.039920720776193
2011,Ambiental e Saúde,Baixo,PC2,Nuvem,0.314687330304078
2011,Ambiental e Saúde,Baixo,PC2,Estabelecimento de nível de atenção básica,-0.05656099196779
2011,Ambiental e Saúde,Baixo,PC2,Negativo,0.193060131264575
2011,Ambiental e Saúde,Baixo,PC2,Área desmatada,0.530484623650172
2011,Ambiental e Saúde,Baixo,PC3,Menor que meia cruz,-0.360896972752171
2011,Ambiental e Saúde,Baixo,PC3,Com Sintomas,0.542225832090458
2011,Ambiental e Saúde,Baixo,PC3,Área Hidrográfica,0.112192792070066
2011,Ambiental e Saúde,Baixo,PC3,Incremento de Desmatamento,-0.015067404188113
2011,Ambiental e Saúde,Baixo,PC3,Taxa de Migração Bruta,-0.290534640402119
2011,Ambiental e Saúde,Baixo,PC3,% de detecção ativa,-0.429238719559843
2011,Ambiental e Saúde,Baixo,PC3,Nuvem,-0.044527529864893
2011,Ambiental e Saúde,Baixo,PC3,Estabelecimento de nível de atenção básica,0.384849667864703
2011,Ambiental e Saúde,Baixo,PC3,Negativo,0.371965840447355
2011,Ambiental e Saúde,Baixo,PC3,Área desmatada,-0.076311617310687
2011,Ambiental e Saúde,Baixo,PC4,Menor que meia cruz,0.189405450179625
2011,Ambiental e Saúde,Baixo,PC4,Com Sintomas,0.378888718542408
2011,Ambiental e Saúde,Baixo,PC4,Área Hidrográfica,-0.246987853657904
2011,Ambiental e Saúde,Baixo,PC4,Incremento de Desmatamento,-0.038179907026894
2011,Ambiental e Saúde,Baixo,PC4,Taxa de Migração Bruta,0.126881490451729
2011,Ambiental e Saúde,Baixo,PC4,% de detecção ativa,-0.15361408484649
2011,Ambiental e Saúde,Baixo,PC4,Nuvem,0.124611404987588
2011,Ambiental e Saúde,Baixo,PC4,Estabelecimento de nível de atenção básica,-0.736335636705112
2011,Ambiental e Saúde,Baixo,PC4,Negativo,0.372728578239876
2011,Ambiental e Saúde,Baixo,PC4,Área desmatada,-0.147537264426065
2011,Ambiental e Saúde,Baixo,PC5,Menor que meia cruz,0.533934797178955
2011,Ambiental e Saúde,Baixo,PC5,Com Sintomas,0.15906777977681
